Serial,Gender,Ethinicity,Minority,Deprived
1058136,Female or unknown,White,no,yes
1058138,Female or unknown,White,no,yes
1058139,Female or unknown,White,no,yes
1058150,Female or unknown,White,no,yes
1058160,Female or unknown,White,no,yes
1058173,Female or unknown,White,no,yes
1058178,Female or unknown,White,no,yes
1058179,Female or unknown,White,no,yes
1058197,Female or unknown,White,no,yes
1058202,Female or unknown,White,no,yes
1058207,Female or unknown,White,no,yes
1058237,Female or unknown,White,no,yes
1058259,Female or unknown,White,no,yes
1081675,Female or unknown,Asian,yes,yes
1081686,Female or unknown,Mixed,yes,yes
1081693,Female or unknown,Asian,yes,yes
1082270,Female or unknown,White,no,yes
1082308,Female or unknown,White,no,yes
1012210,Female or unknown,White,no,no
1012236,Female or unknown,White,no,no
1012262,Female or unknown,White,no,no
1012267,Female or unknown,White,no,no
1012300,Female or unknown,White,no,no
1012304,Female or unknown,White,no,no
1012314,Female or unknown,White,no,no
1031993,Female or unknown,White,no,yes
1031994,Female or unknown,White,no,yes
1070493,Female or unknown,White,no,yes
1015808,Female or unknown,White,no,no
1015821,Female or unknown,White,no,no
1015860,Female or unknown,White,no,no
1015863,Female or unknown,White,no,no
1015906,Female or unknown,White,no,no
1015910,Female or unknown,White,no,no
1015923,Female or unknown,White,no,no
1015967,Female or unknown,White,no,no
1015989,Female or unknown,White,no,no
1015993,Female or unknown,White,no,no
1016000,Female or unknown,White,no,no
1026319,Female or unknown,Asian,yes,no
1035069,Female or unknown,White,no,yes
1044205,Female or unknown,White,no,yes
1044215,Female or unknown,White,no,yes
1025748,Female or unknown,White,no,no
1025749,Female or unknown,White,no,no
1025758,Female or unknown,White,no,no
1025794,Female or unknown,White,no,no
1025825,Female or unknown,White,no,no
1025862,Female or unknown,White,no,no
1025868,Female or unknown,Other or unknown,yes,no
1025875,Female or unknown,White,no,no
1025908,Female or unknown,White,no,no
1025911,Female or unknown,White,no,no
1025937,Female or unknown,White,no,no
1032495,Female or unknown,White,no,yes
1044238,Female or unknown,Mixed,yes,no
1068922,Female or unknown,White,no,no
1019234,Female or unknown,Black,yes,no
1019236,Female or unknown,Asian,yes,no
1019237,Female or unknown,White,no,no
1019238,Female or unknown,Asian,yes,no
1019255,Female or unknown,Black,yes,no
1019262,Female or unknown,Black,yes,no
1019268,Female or unknown,White,no,no
1029053,Female or unknown,White,no,yes
1029062,Female or unknown,White,no,yes
1029073,Female or unknown,White,no,yes
1029075,Female or unknown,White,no,yes
1029079,Female or unknown,White,no,yes
1029110,Female or unknown,White,no,yes
1036068,Female or unknown,White,no,no
1036071,Female or unknown,White,no,no
1036084,Female or unknown,White,no,no
1036088,Female or unknown,White,no,no
1036090,Female or unknown,White,no,no
1036116,Female or unknown,White,no,no
1036119,Female or unknown,White,no,no
1036145,Female or unknown,White,no,no
1036164,Female or unknown,White,no,no
1036171,Female or unknown,White,no,no
1036180,Female or unknown,White,no,no
1036189,Female or unknown,White,no,no
1045267,Female or unknown,White,no,no
1071960,Female or unknown,White,no,yes
1071968,Female or unknown,White,no,yes
1014429,Female or unknown,White,no,no
1014442,Female or unknown,White,no,no
1014465,Female or unknown,White,no,no
1014467,Female or unknown,White,no,no
1014493,Female or unknown,White,no,no
1014504,Female or unknown,White,no,no
1014520,Female or unknown,White,no,no
1014528,Female or unknown,White,no,no
1014545,Female or unknown,White,no,no
1014584,Female or unknown,White,no,no
1014613,Female or unknown,White,no,no
1043830,Female or unknown,White,no,yes
1043833,Female or unknown,White,no,yes
1043835,Female or unknown,White,no,yes
1043849,Female or unknown,White,no,yes
1043907,Female or unknown,Asian,yes,no
1043928,Female or unknown,White,no,no
1075743,Female or unknown,Asian,yes,yes
1082088,Female or unknown,White,no,yes
1025039,Female or unknown,White,no,no
1025049,Female or unknown,White,no,no
1025063,Female or unknown,White,no,no
1025104,Female or unknown,White,no,no
1031595,Female or unknown,Mixed,yes,no
1031605,Female or unknown,Asian,yes,no
1031616,Female or unknown,Mixed,yes,no
1036773,Female or unknown,White,no,yes
1036779,Female or unknown,White,no,yes
1036801,Female or unknown,White,no,yes
1036862,Female or unknown,White,no,yes
1036864,Female or unknown,White,no,yes
1036884,Female or unknown,White,no,yes
1044339,Female or unknown,Black,yes,yes
1044356,Female or unknown,Black,yes,yes
1044385,Female or unknown,Mixed,yes,yes
1044387,Female or unknown,Mixed,yes,yes
1044431,Female or unknown,Black,yes,yes
1067233,Female or unknown,White,no,no
