twosubjectnumber,gender_response,age_response,education_response
T92,Male,45,"College, no degree"
T93,Male,31,"College, no degree"
T126,Female,38,"College, no degree"
T127,Male,20,"College, no degree"
T181,Female,35,Bachelor's degree
T182,Female,38,Bachelor's degree
T183,Male,45,Bachelor's degree
T20,Female,59,"College, no degree"
T202,Female,27,Bachelor's degree
T21,Male,32,High school
T217,Female,37,"College, no degree"
T22,Female,62,High school
T23,Female,24,High school
T24,Female,53,High school
T249,Female,51,"Graduate degree (Master's, Doctorate, etc.)"
T280,Male,44,"Graduate degree (Master's, Doctorate, etc.)"
T281,Male,36,"College, no degree"
T282,Female,55,Bachelor's degree
T283,Female,33,"Graduate degree (Master's, Doctorate, etc.)"
T63,Female,19,"College, no degree"
T94,Male,65,Bachelor's degree
T95,Male,45,"Graduate degree (Master's, Doctorate, etc.)"
