pid,recordedDate,surveyDuration,age,gender,ethnicity,birthCountry,residenceCountry,nationality,primaryLanguage,employment,eduLevel,csas,affectiveValence_1,wemwbs_1,wemwbs_2,wemwbs_3,wemwbs_4,wemwbs_5,wemwbs_6,wemwbs_7,wemwbs_8,wemwbs_9,wemwbs_10,wemwbs_11,wemwbs_12,wemwbs_13,wemwbs_14
p0517,2024-03-23T00:00:31Z,1225,26,Non-binary,White,United States,United States,United States,English,Student,Some University but no degree,2,45,2,3,3,4,2,3,4,2,3,3,3,2,3,3
p0519,2024-02-14T18:43:14Z,630,22,Man,Asian,United States,United States,India,English,Working part-time,Some University but no degree,6,75,3,5,4,5,4,5,5,5,4,4,5,4,4,5
p0520,2024-02-12T15:13:28Z,691,22,Man,White,United States,United States,United States,English,Student,Some University but no degree,3,60,1,3,2,4,2,2,2,1,3,2,1,1,2,3
p0527,2024-02-12T19:47:19Z,480,33,Man,Other,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",8,93,5,5,5,5,5,5,5,5,5,5,5,5,5,5
p0537,2024-02-12T14:32:24Z,769,42,Man,White,United States,United States,United States,English,Working full-time,Some University but no degree,4,65,4,2,2,3,3,5,3,3,1,3,3,4,2,2
p0545,2024-02-13T16:41:27Z,571,42,Man,White,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",3,62,3,4,2,4,3,5,4,3,3,3,2,2,3,2
p0549,2024-02-12T14:36:15Z,1433,33,Woman,Asian,Japan,United States,Japan,Japanese,A homemaker or stay-at-home parent,Completed Secondary School,6,59,3,3,2,3,3,4,4,3,4,3,3,3,4,3
p0550,2024-02-12T22:01:19Z,481,23,Man,White,United States,United States,United States,English,Student,Some University but no degree,3,45,3,2,2,4,3,4,3,3,4,2,2,3,1,2
p0553,2024-02-12T15:09:18Z,1003,30,Man,White,United States,United States,United States,English,Working full-time,Completed Secondary School,3,40,2,3,2,4,2,5,3,3,2,5,3,3,2,3
p0555,2024-02-12T14:29:54Z,709,39,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,7,70,4,3,4,5,4,5,4,5,5,4,4,3,4,4
p0561,2024-02-28T00:19:39Z,826,33,Man,Asian,India,United States,United States,English,Working full-time,University Bachelors Degree,7,80,4,4,3,4,3,4,3,5,4,4,4,3,4,4
p0567,2024-02-26T11:34:30Z,482,37,Woman,White,United States,United States,United States,English,Working part-time,University Bachelors Degree,5,54,3,1,1,5,1,4,1,4,1,4,4,1,1,1
p0574,2024-02-12T14:54:11Z,467,33,Man,Asian,Philippines,United States,Philippines,English,Working full-time,University Bachelors Degree,9,72,4,4,4,3,4,4,5,4,4,4,4,4,4,4
p0579,2024-02-12T14:26:19Z,775,44,Man,White,United States,United States,United States,English,Working full-time,Vocational or Similar,3,81,2,5,2,4,5,5,2,3,5,4,4,5,5,3
p0583,2024-02-12T14:23:15Z,526,32,Man,Asian,United States,United States,United States,English,Working full-time,University Bachelors Degree,6,73,3,4,2,4,4,4,3,5,3,4,4,4,4,4
p0584,2024-02-12T21:56:14Z,977,34,Man,Mixed,United States,United States,United States,English,Working full-time,University Bachelors Degree,8,89,4,4,4,4,4,4,4,4,4,4,4,4,4,4
p0587,2024-02-12T14:35:15Z,626,32,Woman,Other,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",6,61,4,2,2,2,3,4,1,3,3,3,3,3,3,3
p0589,2024-02-12T14:27:00Z,815,39,Man,Mixed,United States,United States,United States,English,Not currently employed,University Bachelors Degree,6,70,3,4,4,4,4,3,2,3,4,3,4,3,4,3
p0605,2024-02-12T14:32:29Z,383,39,Man,White,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",6,56,3,3,2,4,3,5,3,4,5,3,3,3,2,3
p0611,2024-02-12T20:42:34Z,750,27,Man,Asian,United States,United States,United States,English,Working part-time,University Bachelors Degree,3,5,2,2,2,2,2,3,2,2,3,2,2,2,2,1
p0612,2024-02-12T14:50:38Z,932,48,Man,White,United States,United States,United States,English,Working part-time,Some University but no degree,4,60,3,2,2,3,3,3,2,3,2,4,3,2,4,3
p0626,2024-02-12T18:09:13Z,1515,35,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,4,76,3,4,4,4,4,4,2,4,2,4,3,3,3,3
p0629,2024-02-12T14:30:24Z,351,24,Man,White,United States,United States,United States,English,Student,University Bachelors Degree,7,84,4,4,2,4,4,4,3,4,3,3,4,4,4,4
p0636,2024-03-20T02:08:12Z,1193,39,Man,Asian,United States,United States,United States,Chinese,Working full-time,University Bachelors Degree,7,66,4,5,3,4,4,4,5,4,4,4,4,4,4,4
p0653,2024-02-12T22:19:36Z,418,26,Woman,Asian,United States,United States,United States,Tamil,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",7,70,4,4,4,4,5,4,3,4,4,4,3,4,5,4
p0656,2024-02-12T16:22:42Z,1331,32,Woman,White,United States,United States,United States,English,A homemaker or stay-at-home parent,Some University but no degree,4,70,3,3,2,5,2,4,4,3,2,3,2,2,2,3
p0665,2024-03-04T05:34:01Z,893,23,Man,Mixed,United States,United States,United States,English,Student,University Bachelors Degree,6,53,3,3,3,4,3,4,3,4,4,3,3,3,3,3
p0668,2024-02-12T15:07:59Z,774,29,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,7,81,4,5,4,4,4,4,4,4,4,5,4,3,4,5
p0670,2024-02-12T14:27:43Z,694,34,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,3,55,3,4,2,4,3,5,4,3,3,3,3,3,4,3
p0675,2024-02-12T17:18:30Z,1448,24,Man,White,United States,United States,United States,English,Working part-time,University Bachelors Degree,4,60,4,4,3,4,3,3,4,2,2,4,4,4,3,3
p0680,2024-02-12T14:32:28Z,1078,26,Woman,Asian,United States,United States,United States,Chinese,Self-employed,University Bachelors Degree,2,0,1,1,1,1,1,2,2,1,2,1,1,1,1,1
p0684,2024-02-12T14:41:10Z,410,18,Man,Mixed,United States,United States,United States,English,Student,Some University but no degree,8,81,4,4,4,4,4,4,4,4,4,4,4,4,4,4
p0690,2024-02-12T15:05:56Z,752,25,Woman,White,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",4,49,2,1,3,2,1,2,3,2,1,2,2,2,1,2
p0702,2024-02-12T18:13:01Z,557,28,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,5,100,5,5,5,5,5,5,4,5,5,5,5,5,5,5
p0705,2024-02-12T15:21:05Z,1402,33,Woman,Asian,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",5,60,4,3,2,4,3,4,4,4,4,4,3,4,4,4
p0707,2024-02-12T14:25:45Z,754,31,Man,Mixed,United States,United States,United States,English,Working full-time,University Bachelors Degree,6,83,4,4,4,4,4,4,4,4,4,4,4,4,4,4
p0713,2024-04-01T20:09:34Z,1347,39,Man,Black,United States,United States,United States,English,Working full-time,University Bachelors Degree,7,71,1,4,2,2,4,5,4,1,2,4,4,4,3,2
p0716,2024-02-12T14:29:39Z,955,40,Woman,White,United States,United States,United States,English,A homemaker or stay-at-home parent,Vocational or Similar,5,65,3,3,2,2,4,5,3,3,4,3,3,2,4,3
p0721,2024-02-12T14:22:40Z,580,35,Man,Mixed,United States,United States,United States,English,Working full-time,Completed Secondary School,7,74,4,4,2,3,3,3,4,3,3,3,4,3,4,4
p0722,2024-02-12T14:30:41Z,1021,38,Man,White,United States,United States,United States,English,Working full-time,Some University but no degree,4,77,4,3,3,4,4,4,3,4,4,4,4,3,4,3
p0726,2024-02-12T14:49:57Z,1168,33,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,7,91,4,4,4,4,4,4,3,3,4,4,4,4,4,3
p0728,2024-02-15T22:14:38Z,546,35,Non-binary,White,United States,United States,United States,English,Disabled,Some University but no degree,4,42,2,3,2,3,2,3,2,3,3,2,2,2,3,3
p0732,2024-02-12T14:29:03Z,437,52,Man,White,United States,"United States, United States",United States,English,Working full-time,Vocational or Similar,7,66,4,3,3,3,3,5,3,4,3,3,3,4,4,4
p0737,2024-02-14T12:53:39Z,530,39,Man,White,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",7,75,4,2,1,4,4,3,3,3,3,4,3,3,4,3
p0740,2024-02-13T09:14:03Z,1116,29,Man,White,United States,United States,United States,English,Working full-time,Some University but no degree,8,90,3,5,4,5,3,4,4,5,2,5,5,4,3,4
p0745,2024-02-15T16:49:03Z,1325,44,Man,White,United States,United States,United States,English,Working full-time,Completed Secondary School,5,65,4,3,2,5,4,5,4,5,4,4,3,4,4,4
p0751,2024-02-26T02:14:26Z,597,30,Man,Mixed,United States,United States,United States,English,Working part-time,Completed Secondary School,6,81,3,3,3,2,4,3,3,3,3,3,3,2,3,3
p0758,2024-02-21T12:45:41Z,401,31,Man,White,United States,United States,United States,English,Working full-time,Completed Secondary School,3,10,1,3,2,2,2,4,1,1,2,2,1,1,1,1
p0760,2024-02-12T14:39:23Z,1070,22,Man,Other,DATA_EXPIRED,United States,Mexico,DATA_EXPIRED,Not currently employed,University Bachelors Degree,4,75,2,2,3,3,2,2,3,3,3,2,2,3,2,2
p0764,2024-02-12T20:48:04Z,891,26,Woman,White,United States,United States,United States,English,Working full-time,Completed Secondary School,3,33,2,2,1,2,2,2,2,1,3,1,2,2,2,2
p0773,2024-05-01T04:13:56Z,501,18,Woman,Mixed,United States,United States,United States,English,Working full-time,Completed Secondary School,4,30,2,2,3,2,2,2,3,4,2,2,3,3,2,3
p0776,2024-02-13T18:26:41Z,490,37,Man,White,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",6,60,3,4,2,5,2,4,2,2,2,4,2,2,2,2
p0777,2024-02-21T01:50:17Z,839,22,Man,White,United States,United States,United States,English,Working part-time,Some University but no degree,3,60,2,3,1,3,3,3,4,3,4,3,3,2,3,2
p0781,2024-02-13T11:27:39Z,562,29,Man,Mixed,United States,United States,United States,English,Working full-time,University Bachelors Degree,8,92,4,4,4,4,4,4,4,4,4,4,4,4,4,4
p0782,2024-02-12T15:10:22Z,1178,31,Man,Asian,United States,United States,United States,English,Working full-time,University Bachelors Degree,7,85,3,4,5,5,4,4,5,5,4,4,4,4,4,3
p0784,2024-02-12T14:28:36Z,667,33,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,4,79,3,5,5,4,4,5,3,4,4,4,4,3,4,3
p0786,2024-02-12T15:05:03Z,1334,45,Man,White,United States,United States,United States,English,Not currently employed,Some University but no degree,2,58,3,4,4,5,2,5,3,3,2,4,3,3,3,3
p0787,2024-02-23T21:43:19Z,536,33,Man,White,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",7,70,4,3,4,3,4,4,3,3,2,4,4,4,3,3
p0806,2024-02-12T14:35:47Z,619,33,Man,White,United States,United States,United States,English,Self-employed,University Bachelors Degree,4,42,2,2,3,3,1,3,3,3,2,3,3,3,1,3
p0813,2024-02-12T15:10:48Z,544,41,Woman,Asian,Korea,United States,United States,English,Working part-time,University Bachelors Degree,8,80,5,4,4,5,5,5,5,5,4,5,5,4,5,5
p0819,2024-02-12T14:45:55Z,714,36,Man,Asian,United States,United States,United States,English,Working full-time,University Bachelors Degree,6,32,2,3,1,4,2,4,2,3,2,3,2,2,1,2
p0832,2024-02-12T14:50:15Z,658,33,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,8,95,5,5,3,5,5,5,4,5,4,5,5,5,5,4
p0838,2024-02-12T14:24:46Z,570,37,Man,White,United States,United States,United States,English,Working full-time,Vocational or Similar,8,93,4,5,4,5,4,5,4,5,4,5,4,4,5,4
p0841,2024-02-15T23:27:40Z,498,31,Man,White,Poland,United States,United States,English,Working full-time,University Bachelors Degree,8,86,4,4,4,5,5,5,4,4,3,5,4,5,5,4
p0843,2024-02-15T22:17:33Z,710,37,Woman,White,United States,United States,United States,English,Working part-time,Completed Secondary School,5,91,3,3,2,3,4,4,3,3,4,3,3,2,3,4
p0847,2024-02-12T14:53:13Z,952,39,Woman,White,United States,United States,United States,English,Working part-time,University Bachelors Degree,3,60,3,3,2,4,4,4,3,3,4,3,2,3,5,2
p0857,2024-02-12T16:34:24Z,605,53,Woman,White,United States,United States,United States,English,Working part-time,Vocational or Similar,4,90,4,4,3,4,4,4,4,4,4,4,4,4,4,4
p0868,2024-02-13T12:45:37Z,681,27,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,5,76,3,2,2,3,3,4,3,4,2,2,3,3,4,3
p0872,2024-02-15T13:22:54Z,1013,23,Woman,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,7,60,4,5,4,4,3,5,4,3,3,3,4,3,5,3
p0874,2024-02-18T17:04:16Z,2880,37,Man,Other,United States,United States,United States,English,Working full-time,University Bachelors Degree,5,70,4,4,4,4,3,4,3,4,3,4,4,4,3,4
p0890,2024-02-12T16:35:51Z,1179,27,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,8,80,5,4,3,5,3,3,3,4,3,4,4,4,4,4
p0893,2024-02-19T18:00:29Z,1250,39,Man,White,United States,United States,United States,English,Working full-time,Completed Secondary School,6,91,5,4,5,4,5,3,4,4,4,5,5,4,5,5
p0897,2024-02-19T01:47:13Z,488,28,Woman,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,6,80,2,3,2,3,4,2,3,4,1,4,3,2,5,3
p0898,2024-02-12T16:34:49Z,861,41,Man,White,United States,United States,United States,English,Working full-time,Completed Secondary School,4,70,3,3,2,3,3,2,2,2,2,3,3,3,3,3
p0902,2024-02-12T17:39:59Z,1135,48,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,7,72,3,3,4,3,3,4,4,4,3,4,4,4,3,4
p0904,2024-02-12T14:57:06Z,971,31,Woman,White,United States,United States,United States,English,Working part-time,Vocational or Similar,4,23,1,2,1,2,2,3,1,2,1,2,2,2,1,1
p0912,2024-02-12T17:01:36Z,909,35,Man,White,United States,United States,United States,English,Working full-time,Some University but no degree,6,60,3,3,2,4,4,3,2,3,3,3,3,3,4,3
p0913,2024-02-12T14:55:49Z,947,30,Woman,White,United States,United States,United States,English,Working full-time,Some University but no degree,3,50,3,1,1,3,4,3,3,3,4,3,3,2,4,2
p0917,2024-02-12T14:37:17Z,1165,48,Man,White,United States,United States,United States,English,Not currently employed,Completed Secondary School,5,40,2,3,2,4,4,3,3,2,3,3,2,2,3,2
p0918,2024-02-13T01:11:16Z,816,42,Man,Black,United States,United States,United States,English,Working full-time,University Bachelors Degree,5,70,3,3,2,3,4,4,4,3,2,3,2,2,3,3
p0927,2024-02-12T14:23:04Z,566,23,Man,White,United States,United States,United States,English,Working full-time,Some University but no degree,1,100,3,2,1,3,2,4,1,2,2,1,2,1,4,2
p0928,2024-03-31T22:41:24Z,534,22,Woman,White,United States,United States,United States,English,Student,Some University but no degree,4,60,4,3,2,3,3,4,4,3,4,4,3,3,3,3
p0932,2024-03-25T13:16:15Z,1064,21,Man,Black,United States,United States,United States,English,Working part-time,Some University but no degree,6,90,4,4,3,4,3,4,4,4,3,4,4,4,4,4
p0937,2024-02-13T15:02:48Z,692,28,Woman,White,United States,United States,United States,English,Not currently employed,University Bachelors Degree,3,71,2,3,2,3,1,4,3,2,1,2,2,3,1,2
p0941,2024-02-12T14:27:17Z,791,41,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,4,60,3,4,2,4,3,4,3,3,3,3,3,3,3,3
p0944,2024-02-12T14:28:07Z,924,36,Man,Mixed,United States,United States,United States,English,Working full-time,Completed Secondary School,7,88,4,4,4,4,3,5,4,4,3,4,4,4,2,4
p0945,2024-02-13T01:35:11Z,1288,30,Man,Black,United States,United States,United States,English,Working full-time,Some University but no degree,7,59,3,3,3,2,3,3,3,4,3,3,3,3,4,2
p0947,2024-02-12T14:43:25Z,769,25,Man,White,United States,United States,United States,English,Working part-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",7,71,4,4,4,4,4,4,4,4,4,4,4,4,3,4
p0948,2024-02-12T14:38:25Z,648,36,Man,White,United States,United States,United States,English,Not currently employed,Some University but no degree,4,60,2,4,2,3,3,3,2,3,2,3,2,2,2,2
p0950,2024-02-12T16:54:32Z,507,27,Man,White,United States,United States,United States,English,Student,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",7,85,4,4,4,4,4,4,4,4,4,4,4,4,4,4
p0954,2024-02-13T01:21:39Z,534,37,Woman,White,United States,United States,United States,English,A homemaker or stay-at-home parent,Vocational or Similar,4,90,3,5,3,4,5,5,4,3,4,4,2,3,4,2
p0958,2024-02-15T13:14:08Z,546,33,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,7,83,3,3,2,4,3,3,3,4,3,3,3,4,3,3
p0963,2024-02-15T21:55:45Z,343,40,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,8,72,4,4,4,5,4,5,3,5,4,4,3,3,4,4
p0968,2024-02-13T23:47:42Z,1415,34,Man,White,United States,United States,United States,English,Working full-time,Vocational or Similar,6,86,5,4,4,5,4,5,5,5,4,4,5,4,5,5
p0970,2024-02-12T14:36:16Z,765,49,Man,White,United States,United States,United States,English,Working part-time,Vocational or Similar,5,82,2,4,3,4,2,5,3,2,2,4,3,2,2,3
p0984,2024-03-09T22:47:27Z,2565,23,Non-binary,Black,United States,United States,United States,English,Working full-time,University Bachelors Degree,2,40,1,2,2,4,2,4,4,4,3,1,1,1,3,3
p0986,2024-02-13T04:07:47Z,1438,42,Woman,Mixed,United States,United States,United States,English,Working part-time,Some University but no degree,4,64,1,2,1,2,2,3,2,2,3,2,2,2,3,2
p0998,2024-02-12T14:30:09Z,719,29,Man,White,United States,United States,United States,English,Working full-time,Completed Secondary School,5,46,3,3,3,3,3,3,3,3,3,3,3,3,3,3
p1004,2024-02-13T18:59:02Z,1132,27,Woman,White,United States,United States,United States,English,Student,University Bachelors Degree,3,40,1,1,1,1,2,2,2,2,3,1,1,1,3,1
p1007,2024-02-12T14:27:58Z,402,27,Man,Black,United States,United States,United States,English,Working full-time,Completed Secondary School,9,100,5,5,5,5,5,5,5,5,5,5,5,5,5,5
p1010,2024-02-12T15:30:18Z,832,35,Man,White,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",3,27,3,2,2,3,2,1,1,1,1,2,3,2,2,2
p1024,2024-02-12T14:51:59Z,489,42,Man,White,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",6,83,3,3,3,4,4,5,4,4,3,4,5,4,3,3
p1028,2024-02-12T16:33:36Z,892,40,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,5,73,4,4,5,4,4,4,4,5,4,4,4,2,5,4
p1031,2024-02-12T16:26:08Z,1266,26,Woman,Asian,United States,United States,United States,English,Working full-time,University Bachelors Degree,3,55,2,2,1,3,1,3,2,1,1,2,1,2,2,1
p1034,2024-04-29T12:27:17Z,685,33,Man,White,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",8,67,4,4,3,4,4,4,3,4,4,4,5,4,4,3
p1046,2024-02-12T14:24:36Z,651,30,Woman,White,United States,United States,United States,English,Working full-time,Some University but no degree,6,48,3,2,3,4,4,3,3,2,5,2,3,2,2,2
p1063,2024-02-13T01:57:59Z,811,38,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,7,76,4,2,2,5,3,4,5,3,4,4,5,4,4,5
p1064,2024-02-13T17:39:17Z,480,22,Man,White,United States,United States,United States,English,Working full-time,Completed Secondary School,8,99,3,5,3,5,5,5,5,4,4,2,4,5,5,4
p1070,2024-02-12T15:29:24Z,325,21,Man,White,United States,United States,United States,English,Student,Some University but no degree,5,10,3,2,2,3,3,3,4,3,3,2,2,3,1,2
p1072,2024-02-13T04:17:02Z,394,26,Woman,Black,United States,United States,United States,English,Working full-time,Some University but no degree,2,52,3,2,2,2,3,2,4,2,2,1,2,2,1,2
p1073,2024-02-23T20:06:37Z,827,29,Woman,White,United States,United States,United States,English,A homemaker or stay-at-home parent,Some University but no degree,4,71,2,3,2,4,3,5,2,2,4,3,1,3,4,4
p1077,2024-02-13T00:21:41Z,1005,31,Woman,Black,United States,United States,United States,English,Not currently employed,University Bachelors Degree,4,60,4,5,4,4,3,4,4,4,3,4,4,4,5,4
p1078,2024-02-12T14:22:05Z,527,29,Man,Asian,United States,United States,United States,English,Working full-time,University Bachelors Degree,3,50,5,5,4,5,4,4,4,5,5,4,5,5,5,5
p1079,2024-02-12T21:19:58Z,948,29,Woman,Mixed,United States,United States,United States,English,Working part-time,University Bachelors Degree,4,83,3,4,4,4,3,4,4,3,4,4,4,4,4,4
p1086,2024-02-13T19:17:21Z,533,46,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,9,90,4,5,3,5,4,5,3,4,4,4,4,4,4,4
p1088,2024-02-12T15:23:15Z,550,29,Woman,White,United States,United States,United States,English,Working full-time,Some University but no degree,8,80,5,5,3,5,4,5,4,4,3,4,5,4,4,5
p1100,2024-02-14T04:48:50Z,1054,37,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,8,100,5,5,3,4,4,4,5,5,4,5,4,5,5,4
p1106,2024-02-15T15:48:28Z,626,35,Man,White,United States,United States,United States,English,Working part-time,University Bachelors Degree,3,40,3,3,2,4,3,3,2,3,3,3,3,3,2,2
p1107,2024-02-21T22:38:03Z,727,36,Woman,Mixed,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",6,70,3,3,3,3,3,4,3,3,3,4,3,3,4,3
p1114,2024-02-15T08:00:38Z,971,36,Man,Black,United States,United States,United States,English,Working full-time,University Bachelors Degree,5,60,4,3,3,3,4,4,3,3,4,4,2,2,5,4
p1119,2024-04-01T12:03:19Z,1290,32,Woman,White,United States,United States,United States,English,Not currently employed,Some University but no degree,3,68,3,4,2,5,5,5,5,5,4,4,5,4,5,3
p1129,2024-02-12T18:29:35Z,969,35,Woman,White,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",5,75,4,2,2,4,3,3,2,3,3,4,3,3,3,3
p1140,2024-02-15T01:08:38Z,833,50,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,3,70,4,5,3,4,3,4,3,4,3,4,4,5,3,3
p1146,2024-02-12T18:57:29Z,464,46,Man,Asian,Korea,United States,United States,English,Working full-time,Some University but no degree,7,72,4,5,3,4,4,4,3,4,4,4,4,4,4,4
p1159,2024-02-12T14:40:39Z,935,32,Man,Asian,United States,United States,United States,English,Working full-time,University Bachelors Degree,9,97,4,4,5,5,4,4,5,4,4,4,5,3,3,5
p1161,2024-02-12T15:13:54Z,783,47,Man,White,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",6,93,3,4,3,5,4,5,4,4,3,4,5,4,4,4
p1163,2024-02-14T16:19:28Z,668,31,Man,White,United States,United States,United States,English,Working full-time,University Bachelors Degree,7,70,5,4,2,5,4,5,3,4,2,5,4,3,3,3
p1165,2024-04-18T13:21:32Z,275,23,Man,Asian,United States,United States,United States,Vietnamese,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",5,77,3,3,4,4,3,3,4,4,3,4,4,4,3,4
p1170,2024-02-12T14:38:35Z,1055,41,Man,Mixed,United States,United States,United States,English,Working full-time,Completed Secondary School,0,87,3,4,3,3,3,5,2,4,2,4,3,4,3,3
p1171,2024-02-12T14:45:02Z,1702,34,Woman,Mixed,United States,United States,United States,English,Working full-time,"Graduate or professional degree (MA, MS, MBA, PhD, etc)",9,83,5,4,2,5,5,5,3,4,5,5,3,3,5,4
